"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",39.384004,-4.659287,NA,"Paracanthurus hepatus"
"gbif",39.386529,-4.659753,NA,"Paracanthurus hepatus"
"gbif",73.373605,4.5328,NA,"Paracanthurus hepatus"
"gbif",130.715101,-0.533344,NA,"Paracanthurus hepatus"
"gbif",166.44055,-22.494511,NA,"Paracanthurus hepatus"
"gbif",152.708804,-24.114004,NA,"Paracanthurus hepatus"
"gbif",116.025881,-8.346364,NA,"Paracanthurus hepatus"
"gbif",166.43732,-22.494282,NA,"Paracanthurus hepatus"
"gbif",39.390292,-5.828054,NA,"Paracanthurus hepatus"
"gbif",168.225762,-17.610468,NA,"Paracanthurus hepatus"
"gbif",55.463104,-4.74579,NA,"Paracanthurus hepatus"
"gbif",173.838155,0.35065,NA,"Paracanthurus hepatus"
"gbif",153.628972,-28.611592,NA,"Paracanthurus hepatus"
"gbif",130.661309,-0.561889,NA,"Paracanthurus hepatus"
"gbif",123.89172,-5.771052,NA,"Paracanthurus hepatus"
"gbif",126.342462,-1.832513,NA,"Paracanthurus hepatus"
"gbif",126.337113,-1.837575,NA,"Paracanthurus hepatus"
"gbif",123.45309,-0.8198,NA,"Paracanthurus hepatus"
"gbif",153.391466,-29.929429,NA,"Paracanthurus hepatus"
"gbif",73.566667,3.466667,NA,"Paracanthurus hepatus"
"gbif",152.70916,-24.113883,NA,"Paracanthurus hepatus"
"gbif",144.621488,13.438669,NA,"Paracanthurus hepatus"
"gbif",144.621434,13.43893,NA,"Paracanthurus hepatus"
"gbif",118.946747,4.601751,NA,"Paracanthurus hepatus"
"gbif",121.479753,22.638717,NA,"Paracanthurus hepatus"
"gbif",152.714252,-24.114176,NA,"Paracanthurus hepatus"
"gbif",130.4274,-2.19521,NA,"Paracanthurus hepatus"
"gbif",166.370638,-22.454517,NA,"Paracanthurus hepatus"
"gbif",125.171819,1.76605,NA,"Paracanthurus hepatus"
"gbif",55.476513,-21.342338,NA,"Paracanthurus hepatus"
"gbif",153.390432,-29.928547,NA,"Paracanthurus hepatus"
"gbif",153.26693,-30.205483,NA,"Paracanthurus hepatus"
"gbif",153.265733,-30.203405,NA,"Paracanthurus hepatus"
"gbif",145.78899,15.272309,NA,"Paracanthurus hepatus"
"gbif",134.220119,6.967395,NA,"Paracanthurus hepatus"
"gbif",147.068577,-18.614541,NA,"Paracanthurus hepatus"
"gbif",119.604706,-8.5075,NA,"Paracanthurus hepatus"
"gbif",152.711265,-24.111997,NA,"Paracanthurus hepatus"
"gbif",145.717782,15.251534,NA,"Paracanthurus hepatus"
"gbif",123.893462,-5.77552,NA,"Paracanthurus hepatus"
"gbif",134.220404,7.133782,NA,"Paracanthurus hepatus"
"gbif",153.551866,-27.390538,NA,"Paracanthurus hepatus"
"gbif",105.669391,-10.429001,NA,"Paracanthurus hepatus"
"gbif",127.288367,26.200692,NA,"Paracanthurus hepatus"
"gbif",39.382117,-4.6589,NA,"Paracanthurus hepatus"
"gbif",127.293438,26.216508,NA,"Paracanthurus hepatus"
"gbif",45.215604,-12.888951,NA,"Paracanthurus hepatus"
"gbif",125.258344,1.48932,NA,"Paracanthurus hepatus"
"gbif",119.596151,-8.553105,NA,"Paracanthurus hepatus"
"gbif",119.582693,-8.407204,NA,"Paracanthurus hepatus"
"gbif",118.861692,4.600447,NA,"Paracanthurus hepatus"
"gbif",95.25269,5.8985,NA,"Paracanthurus hepatus"
